,Yr,total.bio,K,RS_relative
1,1950,176848.9,215463.7091,0.82078277
2,1951,174088.9,215463.7091,0.807973188
3,1952,170591,215463.7091,0.7917389
4,1953,166358,215463.7091,0.7720929
5,1954,161893.5,215463.7091,0.751372473
6,1955,157083.6,215463.7091,0.729048992
7,1956,151797.9,215463.7091,0.704517251
8,1957,145755.8,215463.7091,0.676474941
9,1958,139600.8,215463.7091,0.647908646
10,1959,131903,215463.7091,0.61218198
11,1960,124069.8,215463.7091,0.575826902
12,1961,115786.4,215463.7091,0.537382376
13,1962,107370.8,215463.7091,0.498324291
14,1963,99061.9,215463.7091,0.459761416
15,1964,91451.7,215463.7091,0.424441315
16,1965,83920.2,215463.7091,0.389486472
17,1966,76573.1,215463.7091,0.355387459
18,1967,70069.4,215463.7091,0.325202793
19,1968,63336.9,215463.7091,0.293956232
20,1969,56521.7,215463.7091,0.262325847
21,1970,50356.5,215463.7091,0.233712212
22,1971,44373.8,215463.7091,0.205945587
23,1972,41727.9,215463.7091,0.193665561
24,1973,36753.1,215463.7091,0.170576754
25,1974,32873.27,215463.7091,0.15256987
26,1975,30430.91,215463.7091,0.141234504
27,1976,28209.2,215463.7091,0.130923208
28,1977,25372.65,215463.7091,0.117758346
29,1978,22635.82,215463.7091,0.1050563
30,1979,20490.55,215463.7091,0.095099774
31,1980,19815.58,215463.7091,0.091967135
32,1981,19861.03,215463.7091,0.092178075
33,1982,18705.51,215463.7091,0.08681513
34,1983,17572.47,215463.7091,0.081556519
35,1984,15676.68,215463.7091,0.072757868
36,1985,15692.56,215463.7091,0.072831569
37,1986,15514.25,215463.7091,0.072004005
38,1987,14543.68,215463.7091,0.067499441
39,1988,14145.91,215463.7091,0.06565333
40,1989,14309.03,215463.7091,0.066410395
41,1990,14596.18,215463.7091,0.067743102
42,1991,16691.63,215463.7091,0.077468406
43,1992,18216.87,215463.7091,0.084547277
44,1993,19417.95,215463.7091,0.090121673
45,1994,19724,215463.7091,0.091542098
46,1995,21127.14,215463.7091,0.098054285
47,1996,22049.24,215463.7091,0.102333892
48,1997,23146.91,215463.7091,0.107428347
49,1998,22785.71,215463.7091,0.105751962
50,1999,24182.74,215463.7091,0.112235792
51,2000,25337.91,215463.7091,0.117597112
52,2001,25726.01,215463.7091,0.119398344
53,2002,26058.39,215463.7091,0.12094097
54,2003,26019.37,215463.7091,0.120759872
55,2004,27066.68,215463.7091,0.125620598
56,2005,27547.38,215463.7091,0.1278516
57,2006,29993.37,215463.7091,0.139203814
58,2007,32606.1,215463.7091,0.151329893
59,2008,35519.9,215463.7091,0.164853284
60,2009,42122.2,215463.7091,0.195495567
61,2010,48814.5,215463.7091,0.226555554
62,2011,57445.8,215463.7091,0.266614736
63,2012,62307.9,215463.7091,0.289180485
64,2013,67677.6,215463.7091,0.314102084
65,2014,72219,215463.7091,0.335179415
66,2015,78643.6,215463.7091,0.364996966
67,2016,83228.2,215463.7091,0.386274795
68,2017,87322.4,215463.7091,0.405276603
69,2018,90228,215463.7091,0.418761936
70,2019,93635.3,215463.7091,0.434575736
71,2020,94729.1,215463.7091,0.439652229
72,2021,95738.2,215463.7091,0.444335616
73,2022,96657,215463.7091,0.448599908
74,2023,97481.7,215463.7091,0.452427466
75,2024,98215.8,215463.7091,0.455834537
76,2025,98827.9,215463.7091,0.458675386
77,2026,99300.4,215463.7091,0.460868331
78,2027,99619.5,215463.7091,0.462349323
79,2028,99814.8,215463.7091,0.46325574
80,2029,99968.8,215463.7091,0.463970478
81,2030,100037.1,215463.7091,0.464287468
82,2031,100065.7,215463.7091,0.464420205
83,2032,100072.1,215463.7091,0.464449909
84,2033,100021.1,215463.7091,0.46421321
85,2034,99971.9,215463.7091,0.463984865
86,2035,99938.5,215463.7091,0.463829851
87,2036,99871.5,215463.7091,0.463518893
88,2037,99811.9,215463.7091,0.463242281
89,2038,99759,215463.7091,0.462996764
90,2039,99712,215463.7091,0.462778629
91,2040,99670.4,215463.7091,0.462585558
92,2041,99633.4,215463.7091,0.462413835
93,2042,99600.6,215463.7091,0.462261605
94,2043,99571.5,215463.7091,0.462126548
95,2044,99545.7,215463.7091,0.462006806
96,2045,99522.8,215463.7091,0.461900523
97,2046,99502.5,215463.7091,0.461806308
98,2047,99484.5,215463.7091,0.461722767
99,2048,99468.5,215463.7091,0.461648509
100,2049,99454.5,215463.7091,0.461583533
101,2050,99442,215463.7091,0.461525518
102,2051,99431,215463.7091,0.461474466
103,2052,99421.3,215463.7091,0.461429446
104,2053,99412.6,215463.7091,0.461389068
105,2054,99405.1,215463.7091,0.46135426
106,2055,99398.5,215463.7091,0.461323628
107,2056,99392.6,215463.7091,0.461296245
108,2057,99387.3,215463.7091,0.461271647
109,2058,99382.8,215463.7091,0.461250762
110,2059,99378.8,215463.7091,0.461232197
111,2060,99375.3,215463.7091,0.461215953
112,2061,99372.2,215463.7091,0.461201566
113,2062,99369.5,215463.7091,0.461189035
114,2063,99367.1,215463.7091,0.461177896
115,2064,99365.1,215463.7091,0.461168614
116,2065,99363.3,215463.7091,0.46116026
117,2066,99361.8,215463.7091,0.461153298
118,2067,99360.4,215463.7091,0.4611468
119,2068,99359.3,215463.7091,0.461141695
120,2069,99358.3,215463.7091,0.461137054
121,2070,99357.4,215463.7091,0.461132877
122,2071,99356.6,215463.7091,0.461129164
123,2072,99356.1,215463.7091,0.461126843
124,2073,99355.5,215463.7091,0.461124059
125,2074,99355,215463.7091,0.461121738
126,2075,99354.6,215463.7091,0.461119881
127,2076,99354.3,215463.7091,0.461118489
128,2077,99354,215463.7091,0.461117097
129,2078,98511.6,215463.7091,0.45720739
130,2079,97685,215463.7091,0.453371013
131,2080,96869.3,215463.7091,0.449585224
132,2081,96024.7,215463.7091,0.445665307
133,2082,95189.3,215463.7091,0.441788088
134,2083,94386,215463.7091,0.43805985
135,2084,93622.6,215463.7091,0.434516794
136,2085,92896.9,215463.7091,0.431148709
137,2086,92203.94,215463.7091,0.427932576
138,2087,91542.25,215463.7091,0.424861571
139,2088,90912.39,215463.7091,0.421938295
140,2089,90315.64,215463.7091,0.419168687
141,2090,89753.11,215463.7091,0.416557899
142,2091,89225.55,215463.7091,0.414109413
143,2092,88733.13,215463.7091,0.411824016
144,2093,88275.31,215463.7091,0.409699204
145,2094,87850.87,215463.7091,0.407729313
146,2095,87458.88,215463.7091,0.405910027
147,2096,87097.51,215463.7091,0.404232854
148,2097,86762.61,215463.7091,0.402678532
149,2098,86456.07,215463.7091,0.401255833
150,2099,86175.37,215463.7091,0.399953061
151,2100,85918.41,215463.7091,0.39876047
152,2101,85683.19,215463.7091,0.397668778
153,2102,85467.84,215463.7091,0.396669306
154,2103,85270.56,215463.7091,0.3957537
155,2104,85090.01,215463.7091,0.394915739
156,2105,84924.7,215463.7091,0.39414851
157,2106,84773.3,215463.7091,0.39344584
158,2107,84634.64,215463.7091,0.392802298
159,2108,84507.69,215463.7091,0.392213103
160,2109,84391.5,215463.7091,0.391673848
161,2110,84285.04,215463.7091,0.391179751
162,2111,84187.47,215463.7091,0.390726913
163,2112,84098.17,215463.7091,0.390312458
164,2113,84016.41,215463.7091,0.389932998
165,2114,83941.56,215463.7091,0.389585607
166,2115,83872.9,215463.7091,0.389266946
167,2116,83810.12,215463.7091,0.388975574
168,2117,83810.12,215463.7091,0.388975574
169,2118,83810.12,215463.7091,0.388975574
170,2119,83810.12,215463.7091,0.388975574
