"","x"
"1",26310
"2",80533
"3",24980
"4",69596
"5",43972
"6",64557
"7",87183
"8",8693
"9",67234
"10",51891
"11",92630
"12",42811
"13",78618
"14",83119
"15",24124
"16",39019
"17",78675
"18",66997
"19",61787
"20",10435
"21",20213
"22",31496
"23",91459
"24",28535
"25",9554
"26",64410
"27",25819
"28",48065
"29",59973
"30",92533
"31",1916
"32",23188
"33",66039
"34",81702
"35",34228
"36",74187
"37",99071
"38",29358
"39",42593
"40",66299
"41",51626
"42",9430
"43",71532
"44",55303
"45",43453
"46",31456
"47",31304
"48",50765
"49",64172
"50",34276
"51",27994
"52",34892
"53",67474
"54",57674
"55",37626
"56",81678
"57",18272
"58",8323
"59",63797
"60",99533
"61",50769
"62",1301
"63",89365
"64",68011
"65",44400
"66",28344
"67",97103
"68",49972
"69",98938
"70",81327
"71",81831
"72",13189
"73",19012
"74",55206
"75",36953
"76",21749
"77",28343
"78",68833
"79",14859
"80",23499
"81",72156
"82",48546
"83",41300
"84",69792
"85",44709
"86",23731
"87",31248
"88",22516
"89",50959
"90",98812
"91",17912
"92",31344
"93",15684
"94",42983
"95",26936
"96",6107
"97",61359
"98",48495
"99",22395
"100",2404
"101",75648
"102",50961
"103",36737
"104",54860
"105",85789
"106",34724
"107",52703
"108",32715
"109",3999
"110",94558
"111",50226
"112",61200
"113",5815
"114",70501
"115",16129
"116",39351
"117",8140
"118",44279
"119",99423
"120",31501
"121",79008
"122",16185
"123",77449
"124",10291
"125",54522
"126",55452
"127",51923
"128",86241
"129",98732
"130",98103
"131",63352
"132",47015
"133",86104
"134",51165
"135",44875
"136",81926
"137",25477
"138",82377
"139",91450
"140",95152
"141",27953
"142",99488
"143",25300
"144",82203
"145",87519
"146",3609
"147",1048
"148",31130
"149",82802
"150",3181
"151",92707
"152",72282
"153",44583
"154",91822
"155",56738
"156",8158
"157",21010
"158",57353
"159",70942
"160",51967
"161",79244
"162",93635
"163",77747
"164",40509
"165",97915
"166",93472
"167",45845
"168",17112
"169",13204
"170",96727
"171",17964
"172",24034
